"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE980433416657";"WEA3 (Seriennummer 44471)";"In Betrieb";"7.8.2013";"13.5.2019";"Wind";"3075";"3075";"99880";"Teutleben";"LHI GII2 WP Teutleben 2286 GmbH & Co. KG";"ABR990054576692";"16.11.2024"
"SEE947134212445";"WEA4 (Seriennummer 44472)";"In Betrieb";"7.8.2013";"13.5.2019";"Wind";"3075";"3075";"99880";"Teutleben";"LHI GII2 WP Teutleben 2286 GmbH & Co. KG";"ABR990054576692";"16.11.2024"
"SEE924524849146";"WEA5 (Seriennummer 44473)";"In Betrieb";"7.8.2013";"13.5.2019";"Wind";"3075";"3075";"99880";"Teutleben";"LHI GII2 WP Teutleben 2286 GmbH & Co. KG";"ABR990054576692";"16.11.2024"
"SEE946363612934";"WEA E-40 Heukewalde";"In Betrieb";"1.6.1995";"13.5.2019";"Wind";"500";"500";"04626";"Heukewalde";"(natürliche Person)";"ABR970125248413";"1.10.2019"
"SEE957137153195";"ABR999703405789";"In Betrieb";"29.4.2009";"6.5.2019";"Wind";"2000";"2000";"36414";"Unterbreizbach";"Windkraft Lohberg 2 GmbH & Co. KG";"ABR999703405789";"29.11.2023"
"SEE916190315179";"ABR940034033080";"In Betrieb";"20.2.2010";"6.5.2019";"Wind";"2000";"2000";"36460";"Krayenberggemeinde";"Windkraft Hoppberg GmbH & Co. KG";"ABR940034033080";"29.11.2023"
"SEE982001588384";"WEA 3";"In Betrieb";"25.6.2018";"6.5.2019";"Wind";"3450";"3450";"37308";"Reinholterode";"WKE Windkraft Eichsfeld GmbH & Co. Roter Berg KG";"ABR993852682749";"29.2.2024"
"SEE984011872651";"WEA 4";"In Betrieb";"18.6.2018";"6.5.2019";"Wind";"3450";"3450";"37308";"Reinholterode";"WKE Windkraft Eichsfeld GmbH & Co. Roter Berg KG";"ABR993852682749";"29.2.2024"
"SEE992776706494";"ABR930429002609";"In Betrieb";"12.5.2010";"6.5.2019";"Wind";"2000";"2000";"36460";"Krayenberggemeinde";"Windkraft Hoppberg 2 GmbH & Co. KG";"ABR930429002609";"29.11.2023"
"SEE956202818878";"WEA 8";"In Betrieb";"18.6.2018";"3.5.2019";"Wind";"3450";"3450";"37308";"Reinholterode";"WKE Windkraft Eichsfeld GmbH & Co. Wiesenweg KG";"ABR939137092834";"29.2.2024"
"SEE905870126167";"WEA 1";"In Betrieb";"27.6.2018";"3.5.2019";"Wind";"3450";"3450";"37308";"Reinholterode";"WKE Windkraft Eichsfeld GmbH & Co. Roter Berg KG";"ABR993852682749";"29.2.2024"
"SEE964035763722";"WEA 2";"In Betrieb";"18.6.2018";"3.5.2019";"Wind";"3450";"3450";"37308";"Reinholterode";"WKE Windkraft Eichsfeld GmbH & Co. Roter Berg KG";"ABR993852682749";"29.2.2024"
"SEE965077486013";"Kraasa 8";"In Betrieb";"19.1.2016";"3.5.2019";"Wind";"3075";"3075";"04617";"Starkenberg";"Lungta Windpark Kraasa GmbH & Co. KG";"ABR932141973274";"19.5.2026"
"SEE947239808451";"Kraasa 9";"In Betrieb";"22.2.2016";"3.5.2019";"Wind";"3075";"3075";"04617";"Starkenberg";"Lungta Windpark Kraasa GmbH & Co. KG";"ABR932141973274";"19.5.2026"
