"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE964575817640";"HH 18";"In Betrieb";"23.6.2011";"27.7.2020";"Wind";"2000";"2000";"99869";"Nessetal";"Windkraft Wangenheim GmbH & Co.KG";"ABR926456507330";"16.1.2025"
"SEE942752072570";"WH 20";"In Betrieb";"15.2.2011";"27.7.2020";"Wind";"2000";"2000";"99869";"Nessetal";"Windkraft Wangenheim GmbH & Co.KG";"ABR926456507330";"16.1.2025"
"SEE947372307354";"WH 21";"In Betrieb";"24.3.2011";"27.7.2020";"Wind";"2000";"2000";"99869";"Nessetal";"Windkraft Wangenheim GmbH & Co.KG";"ABR926456507330";"16.1.2025"
"SEE913454420532";"WH 22";"In Betrieb";"16.3.2012";"27.7.2020";"Wind";"2000";"2000";"99869";"Nessetal";"Windkraft Wangenheim GmbH & Co.KG";"ABR926456507330";"16.1.2025"
"SEE913803058461";"TG 02";"In Betrieb";"26.12.2015";"27.7.2020";"Wind";"3300";"3300";"99820";"Hörselberg-Hainich";"Thüringenwind GmbH & Co. Tüngeda KG";"ABR924601204608";"16.3.2026"
"SEE935859936821";"TG 04";"In Betrieb";"30.12.2015";"27.7.2020";"Wind";"3300";"3300";"99820";"Hörselberg-Hainich";"Thüringenwind GmbH & Co. Tüngeda KG";"ABR924601204608";"16.3.2026"
"SEE904344587367";"TG 05";"In Betrieb";"22.1.2016";"27.7.2020";"Wind";"3300";"3300";"99820";"Hörselberg-Hainich";"Thüringenwind GmbH & Co. Tüngeda KG";"ABR924601204608";"14.4.2026"
"SEE969775518205";"30072";"In Betrieb";"19.3.1999";"22.7.2020";"Wind";"200";"200";"99448";"Rittersdorf";"ENERCON GmbH";"ABR908513626727";"17.3.2022"
"SEE917948826152";"HH 20";"In Betrieb";"20.6.2011";"17.7.2020";"Wind";"2000";"2000";"99869";"Nessetal";"Windkraft Hochheim 20 GmbH & Co. KG";"ABR944902877967";"16.1.2025"
"SEE915681534976";"OL 02";"In Betrieb";"30.12.2012";"16.7.2020";"Wind";"2000";"2000";"99628";"Buttstädt";"Windkraft Olbersleben I GmbH & Co. KG";"ABR958139674879";"27.11.2025"
"SEE909524102422";"OL 04";"In Betrieb";"28.12.2012";"16.7.2020";"Wind";"2000";"2000";"99628";"Buttstädt";"Windkraft Olbersleben I GmbH & Co. KG";"ABR958139674879";"27.11.2025"
"SEE960368946030";"OL 05";"In Betrieb";"28.12.2012";"16.7.2020";"Wind";"2000";"2000";"99628";"Buttstädt";"Windkraft Olbersleben I GmbH & Co. KG";"ABR958139674879";"27.11.2025"
"SEE986519163415";"OL 07";"In Betrieb";"21.12.2012";"16.7.2020";"Wind";"2000";"2000";"99628";"Buttstädt";"Windkraft Olbersleben I GmbH & Co. KG";"ABR958139674879";"27.11.2025"
"SEE996686011815";"35879 - GV 20";"In Betrieb";"16.2.2011";"16.7.2020";"Wind";"2000";"2000";"99958";"Großvargula";"Windpark UH ApS & Co. KG";"ABR954923828497";"8.1.2025"
"SEE956089739464";"35031 - GV 21";"In Betrieb";"17.2.2011";"16.7.2020";"Wind";"2000";"2000";"99958";"Großvargula";"Windpark UH ApS & Co. KG";"ABR954923828497";"8.1.2025"
"SEE981740431227";"KH 56.1";"In Betrieb";"16.9.2016";"16.7.2020";"Wind";"3300";"3300";"99947";"Kirchheilingen";"Windfeld Thüringer Becken KH 56.1 GmbH & Co. KG";"ABR932843902374";"14.10.2024"
"SEE930372015268";"24 WEA Frienstedt I";"In Betrieb";"4.7.2014";"15.7.2020";"Wind";"800";"800";"99092";"Erfurt";"VR-Bank in Nordhessen Westthüringen eG";"ABR956504155992";"18.6.2021"
"SEE964410737935";"24 WEA Frienstedt II";"In Betrieb";"7.7.2014";"15.7.2020";"Wind";"800";"800";"99092";"Erfurt";"VR-Bank in Nordhessen Westthüringen eG";"ABR956504155992";"18.6.2021"
"SEE956823799938";"24 WEA Frienstedt III";"In Betrieb";"7.7.2014";"15.7.2020";"Wind";"800";"800";"99092";"Erfurt";"VR-Bank in Nordhessen Westthüringen eG";"ABR956504155992";"18.6.2021"
"SEE924182704337";"24 WEA Frienstedt IV";"In Betrieb";"8.7.2014";"15.7.2020";"Wind";"800";"800";"99092";"Erfurt";"VR-Bank in Nordhessen Westthüringen eG";"ABR956504155992";"18.6.2021"
"SEE917172170892";"24 WEA Frienstedt V";"In Betrieb";"9.7.2014";"15.7.2020";"Wind";"800";"800";"99092";"Erfurt";"VR-Bank in Nordhessen Westthüringen eG";"ABR956504155992";"18.6.2021"
"SEE909386131769";"24 WEA Frienstedt VI";"In Betrieb";"11.7.2014";"15.7.2020";"Wind";"800";"800";"99092";"Erfurt";"VR-Bank in Nordhessen Westthüringen eG";"ABR956504155992";"18.6.2021"
"SEE977382434764";"24 WEA Frienstedt VII";"In Betrieb";"22.7.2014";"15.7.2020";"Wind";"800";"800";"99092";"Erfurt";"VR-Bank in Nordhessen Westthüringen eG";"ABR956504155992";"18.6.2021"
"SEE955990368176";"24 WEA Frienstedt VIII";"In Betrieb";"10.8.2016";"15.7.2020";"Wind";"800";"800";"99092";"Erfurt";"VR-Bank in Nordhessen Westthüringen eG";"ABR956504155992";"3.7.2026"
"SEE998192629355";"Großvargula 01";"Endgültig stillgelegt";"16.7.2002";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"Windpark Großvargula GmbH & Co. KG";"ABR940632362568";"19.8.2026"
"SEE979349748396";"Großvargula 02";"Endgültig stillgelegt";"16.5.2002";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"Windpark Großvargula GmbH & Co. KG";"ABR940632362568";"19.8.2026"
"SEE989338141107";"Großvargula 03";"Endgültig stillgelegt";"18.7.2002";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"Windpark Großvargula GmbH & Co. KG";"ABR940632362568";"19.8.2026"
"SEE977010162816";"Großvargula 04";"Endgültig stillgelegt";"18.12.2001";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"Windpark Großvargula GmbH & Co. KG";"ABR940632362568";"27.8.2026"
"SEE980059417564";"Großvargula 06";"Endgültig stillgelegt";"31.10.2001";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"Windpark Großvargula GmbH & Co. KG";"ABR940632362568";"19.8.2026"
"SEE942651796843";"Großvargula 07";"In Betrieb";"28.12.2001";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"Windpark Großvargula GmbH & Co. KG";"ABR940632362568";"19.4.2022"
"SEE952048982445";"Großvargula 08";"Endgültig stillgelegt";"15.5.2002";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"(natürliche Person)";"";"21.1.2026"
"SEE912218206955";"Großvargula 09";"In Betrieb";"17.4.2002";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"Windpark Großvargula GmbH & Co. KG";"ABR940632362568";"30.4.2021"
"SEE992322195864";"Großvargula 10";"Endgültig stillgelegt";"23.4.2002";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"(natürliche Person)";"";"21.1.2026"
"SEE994963485779";"Großvargula 05";"Endgültig stillgelegt";"21.2.2002";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"Windpark Großvargula GmbH & Co. KG";"ABR940632362568";"27.8.2026"
"SEE910832947841";"Großvargula 11";"Endgültig stillgelegt";"7.11.2001";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"Windpark Großvargula GmbH & Co. KG";"ABR940632362568";"3.9.2025"
"SEE998725249357";"Großvargula 12";"In Betrieb";"8.5.2002";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"Windpark Großvargula GmbH & Co. KG";"ABR940632362568";"30.4.2021"
"SEE930263830826";"Großvargula 13";"In Betrieb";"14.11.2001";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"Windpark Großvargula GmbH & Co. KG";"ABR940632362568";"19.4.2022"
"SEE973831334029";"Großvargula 14";"In Betrieb";"24.4.2002";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"Windpark Großvargula GmbH & Co. KG";"ABR940632362568";"28.7.2021"
"SEE971702228590";"Großvargula 15";"Endgültig stillgelegt";"7.5.2002";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"(natürliche Person)";"";"21.1.2026"
"SEE944122216751";"Großvargula 16";"Endgültig stillgelegt";"26.6.2002";"13.7.2020";"Wind";"1500";"1500";"99958";"Tonna";"Windpark Großvargula GmbH & Co. KG";"ABR940632362568";"2.9.2025"
"SEE985632822599";"KL 11";"In Betrieb";"22.6.2015";"10.7.2020";"Wind";"3075";"3075";"99955";"Kutzleben";"Windfeld Kutzleben II GmbH & Co. KG";"ABR962721015674";"26.8.2025"
"SEE953465064899";"KL 12";"In Betrieb";"26.6.2015";"10.7.2020";"Wind";"3075";"3075";"99955";"Kutzleben";"Windfeld Kutzleben II GmbH & Co. KG";"ABR962721015674";"26.8.2025"
"SEE923534699697";"KL 13";"In Betrieb";"26.6.2015";"10.7.2020";"Wind";"3075";"3075";"99955";"Kutzleben";"Windfeld Kutzleben II GmbH & Co. KG";"ABR962721015674";"26.8.2025"
"SEE980387966260";"KL 14";"In Betrieb";"24.6.2015";"10.7.2020";"Wind";"3075";"3075";"99955";"Kutzleben";"Windfeld Kutzleben II GmbH & Co. KG";"ABR962721015674";"26.8.2025"
"SEE940209068305";"OL 03";"In Betrieb";"27.12.2012";"10.7.2020";"Wind";"2000";"2000";"99628";"Buttstädt";"Windkraft Olbersleben II GmbH & Co. KG";"ABR949957609242";"27.11.2025"
"SEE976632733558";"OL 06";"In Betrieb";"28.12.2012";"10.7.2020";"Wind";"2000";"2000";"99628";"Buttstädt";"Windkraft Olbersleben II GmbH & Co. KG";"ABR949957609242";"27.11.2025"
"SEE902876151506";"OL 09";"In Betrieb";"18.12.2012";"10.7.2020";"Wind";"2000";"2000";"99628";"Buttstädt";"Windkraft Olbersleben II GmbH & Co. KG";"ABR949957609242";"27.11.2025"
"SEE997854136057";"OL 08";"In Betrieb";"18.12.2012";"10.7.2020";"Wind";"2000";"2000";"99628";"Buttstädt";"Windkraft Olbersleben II GmbH & Co. KG";"ABR949957609242";"20.12.2024"
"SEE965188395440";"OL 01";"In Betrieb";"29.12.2012";"10.7.2020";"Wind";"2000";"2000";"99628";"Buttstädt";"Windkraft Olbersleben I GmbH & Co. KG";"ABR958139674879";"27.11.2025"
"SEE965388548103";"Rositz WEA 1";"In Betrieb";"6.3.2003";"9.7.2020";"Wind";"1500";"1500";"04617";"Rositz";"EnBW Windkraftprojekte GmbH";"ABR986645205263";"17.2.2022"
"SEE939264177893";"Rositz WEA 2";"In Betrieb";"6.3.2003";"9.7.2020";"Wind";"1500";"1500";"04617";"Rositz";"EnBW Windkraftprojekte GmbH";"ABR986645205263";"17.2.2022"
"SEE933871383456";"Rositz WEA 3";"In Betrieb";"13.2.2003";"9.7.2020";"Wind";"1500";"1500";"04617";"Rositz";"EnBW Windkraftprojekte GmbH";"ABR986645205263";"17.2.2022"
"SEE955647520162";"Rositz WEA 4";"In Betrieb";"20.3.2003";"9.7.2020";"Wind";"1500";"1500";"04617";"Rositz";"EnBW Windkraftprojekte GmbH";"ABR986645205263";"17.2.2022"
"SEE998073576310";"Rositz WEA 5";"In Betrieb";"27.3.2003";"9.7.2020";"Wind";"1500";"1500";"04617";"Rositz";"EnBW Windkraftprojekte GmbH";"ABR986645205263";"4.8.2021"
"SEE913625700371";"Rositz WEA 6";"In Betrieb";"28.2.2003";"9.7.2020";"Wind";"1500";"1500";"04617";"Rositz";"EnBW Windkraftprojekte GmbH";"ABR986645205263";"27.2.2021"
"SEE944186800156";"Rositz WEA 7";"In Betrieb";"6.3.2003";"9.7.2020";"Wind";"1500";"1500";"04617";"Rositz";"EnBW Windkraftprojekte GmbH";"ABR986645205263";"17.2.2022"
"SEE941101493721";"Rositz WEA 8";"In Betrieb";"27.3.2003";"9.7.2020";"Wind";"1500";"1500";"04617";"Rositz";"EnBW Windkraftprojekte GmbH";"ABR986645205263";"17.2.2022"
"SEE901813253631";"Rositz WEA 9";"In Betrieb";"1.4.2003";"9.7.2020";"Wind";"1500";"1500";"04617";"Rositz";"EnBW Windkraftprojekte GmbH";"ABR986645205263";"17.2.2022"
"SEE939174200438";"KE 03.1";"In Betrieb";"23.12.2016";"9.7.2020";"Wind";"3300";"3300";"99718";"Großenehrich";"BOREAS Windfeld Kirchengel III GmbH & Co. KG";"ABR911732186552";"14.10.2024"
"SEE961920864809";"KE 04.1";"In Betrieb";"23.12.2016";"9.7.2020";"Wind";"3300";"3300";"99718";"Großenehrich";"BOREAS Windfeld Kirchengel III GmbH & Co. KG";"ABR911732186552";"14.10.2024"
"SEE927633551511";"KE 05.1";"In Betrieb";"23.12.2016";"9.7.2020";"Wind";"3300";"3300";"99718";"Großenehrich";"BOREAS Windfeld Kirchengel III GmbH & Co. KG";"ABR911732186552";"14.10.2024"
"SEE948641955436";"WP Tüttleben WKA 1";"In Betrieb";"26.1.2000";"5.7.2020";"Wind";"1050";"1050";"99869";"Tüttleben";"SkyPower Kraftwerke GmbH";"ABR941528387078";"18.2.2026"
"SEE970359508123";"WP Tüttleben WKA 2";"In Betrieb";"7.9.1999";"5.7.2020";"Wind";"1050";"1050";"99869";"Tüttleben";"SkyPower Kraftwerke GmbH";"ABR941528387078";"18.2.2026"
"SEE946657735493";"OH 02";"In Betrieb";"30.12.2007";"3.7.2020";"Wind";"2000";"2000";"99631";"Weißensee";"Windkraft Ottenhausen GmbH & Co. KG";"ABR928425416674";"14.10.2024"
"SEE993249172525";"OH 03";"In Betrieb";"27.12.2007";"3.7.2020";"Wind";"2000";"2000";"99631";"Weißensee";"Windkraft Ottenhausen GmbH & Co. KG";"ABR928425416674";"14.10.2024"
"SEE985046131812";"OH 04";"In Betrieb";"29.12.2007";"3.7.2020";"Wind";"2000";"2000";"99631";"Weißensee";"Windkraft Ottenhausen GmbH & Co. KG";"ABR928425416674";"14.10.2024"
"SEE908599528649";"OH 05";"In Betrieb";"30.12.2007";"3.7.2020";"Wind";"2000";"2000";"99631";"Weißensee";"Windkraft Ottenhausen GmbH & Co. KG";"ABR928425416674";"14.10.2024"
"SEE970728549757";"OH 06";"In Betrieb";"30.12.2007";"3.7.2020";"Wind";"2000";"2000";"99631";"Weißensee";"Windkraft Ottenhausen GmbH & Co. KG";"ABR928425416674";"14.10.2024"
"SEE961426170817";"OH 07";"In Betrieb";"29.12.2007";"3.7.2020";"Wind";"2000";"2000";"99631";"Weißensee";"Windkraft Ottenhausen GmbH & Co. KG";"ABR928425416674";"14.10.2024"
"SEE912142897298";"OH 08";"In Betrieb";"29.12.2007";"3.7.2020";"Wind";"2000";"2000";"99631";"Weißensee";"Windkraft Ottenhausen GmbH & Co. KG";"ABR928425416674";"14.10.2024"
"SEE984640260515";"GV 19";"In Betrieb";"25.6.2011";"2.7.2020";"Wind";"2000";"2000";"99958";"Großvargula";"Windpark UH II GmbH & Co. KG";"ABR974917480142";"19.12.2024"
"SEE969163400259";"OL 12";"In Betrieb";"8.5.2014";"2.7.2020";"Wind";"3075";"3075";"99628";"Buttstädt";"Windkraft Olbersleben V GmbH & Co. KG";"ABR967985462332";"26.11.2025"
"SEE942038155829";"OL 15";"In Betrieb";"8.5.2014";"2.7.2020";"Wind";"3075";"3075";"99628";"Buttstädt";"Windkraft Olbersleben V GmbH & Co. KG";"ABR967985462332";"26.11.2025"
"SEE966119157090";"GR 12";"In Betrieb";"23.12.2015";"2.7.2020";"Wind";"3075";"3075";"99718";"Greußen";"BOREAS Windfeld Greußen II GmbH & Co. KG";"ABR911757601368";"17.2.2026"
"SEE933192558939";"GR 13";"In Betrieb";"28.12.2015";"2.7.2020";"Wind";"3075";"3075";"99718";"Greußen";"BOREAS Windfeld Greußen II GmbH & Co. KG";"ABR911757601368";"17.2.2026"
"SEE992651645658";"OH 01";"In Betrieb";"30.12.2007";"2.7.2020";"Wind";"2000";"2000";"99631";"Weißensee";"Windkraft Ottenhausen GmbH & Co. KG";"ABR928425416674";"14.10.2024"
"SEE965475988232";"Frauenprießnitz WEA 17712";"In Betrieb";"19.12.2002";"30.6.2020";"Wind";"1000";"1000";"07774";"Frauenprießnitz";"Weikmann Immotec GmbH & Co. KG";"ABR991734186477";"24.2.2022"
"SEE947995685839";"HL 08";"In Betrieb";"25.8.2014";"26.6.2020";"Wind";"3075";"3075";"99955";"Herbsleben";"Windkraft Herbsleben V GmbH & Co. KG";"ABR972156012292";"19.12.2024"
"SEE905073849054";"BR 01";"In Betrieb";"7.12.2017";"26.6.2020";"Wind";"3300";"3300";"99869";"Nessetal";"Windkraft Brüheim GmbH & Co. KG";"ABR984804651951";"16.1.2025"
"SEE985666917636";"BR 02";"In Betrieb";"8.12.2017";"26.6.2020";"Wind";"3300";"3300";"99869";"Nessetal";"Windkraft Brüheim GmbH & Co. KG";"ABR984804651951";"16.1.2025"
"SEE908963823288";"BS 13";"In Betrieb";"27.3.2012";"26.6.2020";"Wind";"3075";"3075";"99869";"Nessetal";"Windkraft Ballstädt GmbH & Co. KG";"ABR943010289525";"16.1.2025"
"SEE929306204502";"BS 15";"In Betrieb";"23.4.2012";"26.6.2020";"Wind";"3075";"3075";"99869";"Nessetal";"Windkraft Ballstädt GmbH & Co. KG";"ABR943010289525";"16.1.2025"
"SEE996591909986";"BS 16";"In Betrieb";"11.4.2012";"26.6.2020";"Wind";"3075";"3075";"99869";"Nessetal";"Windkraft Ballstädt GmbH & Co. KG";"ABR943010289525";"16.1.2025"
"SEE911157653103";"GV 17";"In Betrieb";"26.6.2011";"26.6.2020";"Wind";"2000";"2000";"99958";"Großvargula";"Windpark UH II GmbH & Co. KG";"ABR974917480142";"19.12.2024"
"SEE967815853019";"HL 07";"In Betrieb";"11.2.2011";"25.6.2020";"Wind";"2000";"2000";"99955";"Herbsleben";"Windkraft Herbsleben IV GmbH & Co. KG";"ABR939509547603";"19.12.2024"
"SEE957872886624";"HL 10.1";"In Betrieb";"22.12.2015";"25.6.2020";"Wind";"2000";"2000";"99955";"Herbsleben";"Windkraft Herbsleben VI GmbH & Co. KG";"ABR911245617413";"17.2.2026"
"SEE914899592662";"KH 16";"In Betrieb";"16.11.2010";"25.6.2020";"Wind";"2000";"2000";"99947";"Kirchheilingen";"Windkraft Kirchheilingen III GmbH & Co. KG";"ABR964741009442";"31.5.2021"
"SEE917946186111";"KH 17";"In Betrieb";"30.12.2009";"25.6.2020";"Wind";"2000";"2000";"99947";"Kirchheilingen";"Windkraft Kirchheilingen III GmbH & Co. KG";"ABR964741009442";"14.10.2024"
"SEE934665630688";"KH 18";"In Betrieb";"20.1.2010";"25.6.2020";"Wind";"2000";"2000";"99947";"Kirchheilingen";"Windkraft Kirchheilingen III GmbH & Co. KG";"ABR964741009442";"14.10.2024"
"SEE972050175017";"KH 19";"In Betrieb";"27.12.2010";"25.6.2020";"Wind";"2000";"2000";"99947";"Kirchheilingen";"Windkraft Kirchheilingen III GmbH & Co. KG";"ABR964741009442";"14.10.2024"
"SEE972727354707";"KH 26";"In Betrieb";"24.1.2011";"25.6.2020";"Wind";"2000";"2000";"99947";"Kirchheilingen";"Windkraft Kirchheilingen III GmbH & Co. KG";"ABR964741009442";"14.10.2024"
"SEE983148007158";"KH 30";"In Betrieb";"17.2.2010";"25.6.2020";"Wind";"2000";"2000";"99947";"Kirchheilingen";"Windkraft Kirchheilingen III GmbH & Co. KG";"ABR964741009442";"14.10.2024"
"SEE936096659689";"KH 32";"In Betrieb";"2.2.2010";"25.6.2020";"Wind";"2000";"2000";"99947";"Kirchheilingen";"Windkraft Kirchheilingen III GmbH & Co. KG";"ABR964741009442";"14.10.2024"
"SEE927934206899";"TL 02";"In Betrieb";"4.2.2010";"25.6.2020";"Wind";"2000";"2000";"99947";"Kirchheilingen";"Windkraft Kirchheilingen III GmbH & Co. KG";"ABR964741009442";"15.10.2024"
"SEE941776988447";"KH 46.1";"In Betrieb";"2.12.2015";"25.6.2020";"Wind";"3300";"3300";"99947";"Kirchheilingen";"Windkraft Kirchheilingen III GmbH & Co. KG";"ABR964741009442";"16.2.2026"
"SEE907825626364";"KH 14";"In Betrieb";"30.12.2003";"23.6.2020";"Wind";"1500";"1500";"99947";"Kirchheilingen";"BOREAS Energie GmbH";"ABR909054335185";"19.4.2022"
"SEE905846543264";"Windkraft";"In Betrieb";"21.10.1996";"19.6.2020";"Wind";"600";"600";"04626";"Schmölln";"PR Windkraft GmbH";"ABR932681258701";"6.2.2023"
"SEE998561093244";"Windrad Bornhügel 18";"In Betrieb";"5.6.2012";"19.6.2020";"Wind";"10";"10";"98724";"Neuhaus";"R. Müller CNC-Fertigungstechnik e.K.";"ABR956085424937";"11.9.2020"
"SEE930379683514";"BG 02";"In Betrieb";"12.12.2003";"19.6.2020";"Wind";"1500";"1500";"99947";"Kirchheilingen";"GSW Windmühlen Fonds 2003 GmbH & Co. KG";"ABR909682503246";"22.1.2025"
"SEE905012207624";"BG 06";"In Betrieb";"31.7.2013";"19.6.2020";"Wind";"2000";"2000";"99947";"Kirchheilingen";"GSW Windmühlen Fonds 2003 GmbH & Co. KG";"ABR909682503246";"22.1.2025"
"SEE953036244026";"HR 08";"Endgültig stillgelegt";"23.12.2004";"17.6.2020";"Wind";"900";"900";"99817";"Eisenach";"Windkraft Neukirchen III GmbH & Co. KG";"ABR922982185561";"1.9.2025"
"SEE971333592305";"70257";"In Betrieb";"24.4.2003";"17.6.2020";"Wind";"1500";"1500";"99734";"Nordhausen";"Momentum Energy Germany GmbH & Co.KG";"ABR942424506877";"10.1.2025"
"SEE903227024739";"HR 04";"Endgültig stillgelegt";"22.12.2004";"17.6.2020";"Wind";"900";"900";"99817";"Eisenach";"Windkraft Neukirchen III GmbH & Co. KG";"ABR922982185561";"18.8.2026"
"SEE955539466530";"E 921766-25";"In Betrieb";"10.6.2020";"12.6.2020";"Wind";"2350";"2350";"99869";"Nessetal";"Windpark Wangenheim/Hochheim  GmbH & Co. Betriebs-KG";"ABR929330099815";"8.9.2026"
"SEE965904701210";"Windkraft";"In Betrieb";"26.3.2001";"11.6.2020";"Wind";"1000";"1000";"99869";"Schwabhausen";"Xenturion GmbH";"ABR969772662727";"31.8.2021"
"SEE953212597977";"Windkraft";"In Betrieb";"29.4.2004";"11.6.2020";"Wind";"1800";"1800";"99869";"Schwabhausen";"DBS Bernd Köhler";"ABR917905226957";"1.7.2021"
"SEE918376535234";"GL 01";"Endgültig stillgelegt";"15.11.2002";"10.6.2020";"Wind";"1500";"1500";"99634";"Gangloffsömmern";"(natürliche Person)";"";"19.1.2023"
"SEE957479206146";"WKA Berga 1";"In Betrieb";"12.10.1997";"9.6.2020";"Wind";"500";"500";"07980";"Berga";"Agrargenossenschaft Elstertal Markersdorf eG";"ABR921845107245";"28.5.2021"
"SEE962274963194";"WKA Berga 2";"In Betrieb";"1.8.1997";"9.6.2020";"Wind";"600";"600";"07980";"Berga";"MA-WI Windkraft Beteiligungs GmbH";"ABR989299138215";"28.5.2021"
"SEE998013206017";"Thonhausen WEA6";"In Betrieb";"25.10.2017";"8.6.2020";"Wind";"3400";"3400";"04626";"Thonhausen";"Steffen Stecher e.K.";"ABR981064215428";"27.1.2022"
"SEE959203920700";"ABR989919467510";"In Betrieb";"22.8.2013";"6.6.2020";"Wind";"4,199";"4,199";"98673";"Eisfeld";"(natürliche Person)";"ABR989919467510";"27.3.2021"
"SEE911040282441";"HH55.1";"In Betrieb";"14.5.2020";"5.6.2020";"Wind";"4200";"4200";"99869";"Nessetal";"Windkraft Hochheim V GmbH & Co. KG";"ABR960529023297";"5.5.2026"
"SEE974681256691";"HH56";"In Betrieb";"14.5.2020";"5.6.2020";"Wind";"4200";"4200";"99869";"Nessetal";"Windkraft Hochheim V GmbH & Co. KG";"ABR960529023297";"5.5.2026"
"SEE944098908087";"WEA 11 - 70 1269";"In Betrieb";"11.6.2003";"4.6.2020";"Wind";"1800";"1800";"37359";"Büttstedt";"GERES EnergieSysteme GmbH";"ABR965463074305";"11.4.2024"
"SEE995927647042";"WEA 14 - 70 1272";"In Betrieb";"30.7.2003";"4.6.2020";"Wind";"1800";"1800";"37359";"Büttstedt";"GERES EnergieSysteme GmbH";"ABR965463074305";"11.4.2024"
"SEE980859384998";"WEA 15 - 70 1273";"In Betrieb";"28.6.2003";"4.6.2020";"Wind";"1800";"1800";"37359";"Büttstedt";"GERES EnergieSysteme GmbH";"ABR965463074305";"11.4.2024"
"SEE982429994170";"WEA 16 - 70 1274";"In Betrieb";"10.7.2003";"4.6.2020";"Wind";"1800";"1800";"37359";"Büttstedt";"GERES EnergieSysteme GmbH";"ABR965463074305";"11.4.2024"
"SEE955275110285";"WEA 17 - 70 1275";"In Betrieb";"27.6.2003";"4.6.2020";"Wind";"1800";"1800";"37359";"Büttstedt";"HM Green Line GmbH";"ABR956732283016";"8.10.2024"
"SEE967696528525";"HR 05";"Endgültig stillgelegt";"14.12.2005";"3.6.2020";"Wind";"800";"800";"99817";"Eisenach";"(natürliche Person)";"";"10.8.2026"
"SEE919718628461";"WEA 1 - 70 1259";"In Betrieb";"11.9.2003";"3.6.2020";"Wind";"1800";"1800";"37359";"Büttstedt";"GERES EnergieSysteme GmbH";"ABR965463074305";"11.4.2024"
"SEE970967662934";"WEA 7 - 70 1265";"In Betrieb";"23.7.2003";"3.6.2020";"Wind";"1800";"1800";"37359";"Büttstedt";"GERES EnergieSysteme GmbH";"ABR965463074305";"11.4.2024"
"SEE921592368579";"WEA 9 - 70 1267";"In Betrieb";"26.6.2003";"3.6.2020";"Wind";"1800";"1800";"37359";"Büttstedt";"GERES EnergieSysteme GmbH";"ABR965463074305";"11.4.2024"
"SEE922338369867";"WEA 12-70387 MD77";"In Betrieb";"18.12.2003";"28.5.2020";"Wind";"1500";"1500";"07619";"Schkölen";"Windpark Wetzdorf GmbH & Co. KG c/o Das Grüne Emissionshaus GmbH";"ABR914829576557";"7.2.2022"
"SEE973282771879";"WEA 13-70381 MD77";"In Betrieb";"18.12.2003";"28.5.2020";"Wind";"1500";"1500";"07619";"Schkölen";"Windpark Wetzdorf GmbH & Co. KG c/o Das Grüne Emissionshaus GmbH";"ABR914829576557";"7.2.2022"
"SEE991818887061";"WEA 14-70365 MD77";"In Betrieb";"17.12.2003";"28.5.2020";"Wind";"1500";"1500";"07619";"Schkölen";"Windpark Wetzdorf GmbH & Co. KG c/o Das Grüne Emissionshaus GmbH";"ABR914829576557";"7.2.2022"
"SEE902611706770";"WKA Trügleben 1";"In Betrieb";"22.6.1999";"27.5.2020";"Wind";"600";"600";"99880";"Trügleben";"(natürliche Person)";"ABR963867402908";"25.1.2022"
"SEE999179483076";"WEA 01-70366 MD77";"In Betrieb";"21.12.2003";"27.5.2020";"Wind";"1500";"1500";"07619";"Schkölen";"Windpark Wetzdorf GmbH & Co. KG c/o Das Grüne Emissionshaus GmbH";"ABR914829576557";"7.2.2022"
"SEE984448964523";"WEA 02-70363 MD77";"In Betrieb";"12.12.2003";"27.5.2020";"Wind";"1500";"1500";"07619";"Schkölen";"Windpark Wetzdorf GmbH & Co. KG c/o Das Grüne Emissionshaus GmbH";"ABR914829576557";"7.2.2022"
"SEE975462277584";"WEA 03-70362 MD77";"In Betrieb";"11.12.2003";"27.5.2020";"Wind";"1500";"1500";"07619";"Schkölen";"Windpark Wetzdorf GmbH & Co. KG c/o Das Grüne Emissionshaus GmbH";"ABR914829576557";"7.2.2022"
